"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below."						
All submitters of data may be contacted directly via www.gisaid.org						
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_410539	BetaCoV/pangolin/Guangxi/P1E/2017	Asia / China / Guangxi	2017	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410541	BetaCoV/pangolin/Guangxi/P5E/2017	Asia / China / Guangxi	2017	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410540	BetaCoV/pangolin/Guangxi/P5L/2017	Asia / China / Guangxi	2017	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410538	BetaCoV/pangolin/Guangxi/P4L/2017	Asia / China / Guangxi	2017	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410543	BetaCoV/pangolin/Guangxi/P3B/2017	Asia / China / Guangxi	2017	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410542	BetaCoV/pangolin/Guangxi/P2V/2017	Asia / China / Guangxi	2017	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410544	BetaCoV/pangolin/Guangdong/P2S/2019	Asia / China / Guangdong	2019	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410717	BetaCoV/Australia/QLD03/2020	Oceania / Australia / Queensland / Gold Coast	2020-02-05	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_410718	BetaCoV/Australia/QLD04/2020	Oceania / Australia / Queensland / Gold Coast	2020-02-05	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_410713	BetaCoV/Singapore/7/2020	Asia / Singapore	2020-01-27	"National Public Health Laboratory, National Centre for Infectious Diseases"	"National Public Health Laboratory, National Centre for Infectious Diseases"	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410716	BetaCoV/Singapore/10/2020	Asia / Singapore	2020-02-04	"National Public Health Laboratory, National Centre for Infectious Diseases "	"National Centre for Infectious Diseases, National Centre for Infectious Diseases"	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_407894	BetaCoV/Australia/QLD01/2020	Oceania / Australia / Queensland / Gold Coast	2020-01-28	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_407896	BetaCoV/Australia/QLD02/2020	Oceania / Australia / Queensland / Gold Coast	2020-01-30	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_410714	BetaCoV/Singapore/8/2020	Asia / Singapore	2020-02-03	"National Public Health Laboratory, National Centre for Infectious Diseases"	"National Public Health Laboratory, National Centre for Infectious Diseases"	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410715	BetaCoV/Singapore/9/2020	Asia / Singapore	2020-02-04	"National Public Health Laboratory, National Centre for Infectious Diseases "	"National Public Health Laboratory, National Centre for Infectious Diseases "	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410719	BetaCoV/Singapore/11/2020	Asia / Singapore	2020-02-02	National Public Health Laboratory	National Public Health Laboratory	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410545	BetaCoV/Italy/INMI1-isl/2020	Europe / Italy / Rome	2020-01-29	INMI Lazzaro Spallanzani IRCCS	"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"	"Maria R. Capobianchi, Cesare E. M. Gruber, Martina Rueca, Barbara Bartolini, Francesco Messina, Emanuela Giombini, Francesca Colavita, Concetta Castilletti, Eleonora Lalle, Fabrizio Carletti, Emanuele Nicastri, Giuseppe Ippolito."
EPI_ISL_410546	BetaCoV/Italy/INMI1-cs/2020	Europe / Italy / Rome	2020-01-31	INMI Lazzaro Spallanzani IRCCS	"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"	"Maria R. Capobianchi, Cesare E. M. Gruber, Martina Rueca, Fabrizio Carletti, Barbara Bartolini, Francesco Messina, Emanuela Giombini, Francesca Colavita, Concetta Castilletti, Eleonora Lalle, Emanuele Nicastri, Giuseppe Ippolito."
EPI_ISL_410720	BetaCoV/France/IDF0372-isl/2020	Europe / France / Ile-de-France / Paris	2020-01-23	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure. "
EPI_ISL_410984	BetaCoV/France/IDF0515-isl/2020	Europe / France / Ile-de-France / Paris	2020-01-29	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris "	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure "
EPI_ISL_410721	BetaCoV/pangolin/Guandong/1/2019	Asia / China / Guangdong	2019	South China Agricultural University	South China Agricultural University	"Yongyi Shen, Lihua Xiao, Wu Chen"
EPI_ISL_411060	BetaCoV/Fujian/8/2020	Asia / China / Fujian	2020-01-21	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	"Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei"
EPI_ISL_411066	BetaCoV/Fujian/13/2020	Asia / China / Fujian	2020-01-22	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	"Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei"
EPI_ISL_411218	BetaCoV/France/IDF0571/2020	Europe / France / Ile-de-France / Paris	2020-02-02	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon"	"Olivier Terrier, Aurélien Traversier, Julien Fouret, Yazdan Yazdanpanah, Xavier Lescure, Catherine Legras-Lachuer, Alexandre Gaymard, Bruno Lina, Manuel Rosa-Calatrava"
EPI_ISL_411219	BetaCoV/France/IDF0386-islP1/2020	Europe / France / Ile-de-France / Paris	2020-01-28	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris "	"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon"	"Olivier Terrier, Aurélien Traversier, Julien Fouret, Yazdan Yazdanpanah, Xavier Lescure, Alexandre Gaymard, Bruno Lina, Manuel Rosa-Calatrava"
EPI_ISL_411220	BetaCoV/France/IDF0386-islP3/2020	Europe / France / Ile-de-France / Paris	2020-01-28	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon "	"Olivier Terrier, Aurélien Traversier, Julien Fouret, Yazdan Yazdanpanah, Xavier Lescure, Alexandre Gaymard, Bruno Lina, Manuel Rosa-Calatrava "
EPI_ISL_411902	BetaCoV/Cambodia/0012/2020	Asia / Cambodia / Sihanoukville	2020-01-27	"Virology Unit, Institut Pasteur du Cambodge."	"Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub) "	"Erik A Karlsson, Jennifer A Bohl, Vida Ahyong, Veasna Duong, Philippe Dussart, Jessica E Manning."
EPI_ISL_411915	BetaCoV/Taiwan/CGMH-CGU-01/2020	Asia / Taiwan / Taoyuan	2020-01-25	Laboratory Medicine	"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan."	"Kuo-Chien Tsao, Yu-Nong Gong, Shu-Li Yang, Yi-Chun Li, Chung-Guei Huang, Yhu-Chering Huang, Shin-Ru Shih"
EPI_ISL_411926	BetaCoV/Taiwan/3/2020	Asia / Taiwan / Taipei	2020-01-24	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	"Ji-Rong Yang, Yu-Chi-Lin, Jung-Jung Mu, Ming-Tsan-Liu"
EPI_ISL_411927	BetaCoV/Taiwan/4/2020	Asia / Taiwan / Taipei	2020-01-28	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	"Ji-Rong Yang, Yu-Chi-Lin, Jung-Jung Mu, Ming-Tsan-Liu"
EPI_ISL_406799	BetaCov/Wuhan/WH02/2019	Asia / China / Wuhan	2019-12-31	General Hospital of Central Theater Command of People's Liberation Army of China	"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China"	"Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu"
EPI_ISL_407193	BetaCoV/South Korea/KCDC03/2020	Asia / South Korea / Gyeonggi-do	2020-01-25	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, SangHee Woo, Hye-Joon Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_411950	BetaCoV/Jiangsu/JS01/2020	Asia / China / Jiangsu	2020-01-23	"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology"	Jiangsu Provincial Center for Disease Control & Prevention	"Lunbiao Cui,Kangchen Zhao,Xiaojuan Zhu,Yiyue Ge,Tao Wu,Bin Wu,Yin Chen,Fengcai Zhu,Baoli Zhu,Ming Wu"
EPI_ISL_411953	BetaCoV/Jiangsu/JS03/2020	Asia / China / Jiangsu	2020-01-24	"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology"	Jiangsu Provincial Center for Disease Control & Prevention	"Kangchen Zhao, Xiaojuan Zhu, Lunbiao Cui, Tao Wu, Yiyue Ge, Bin Wu, Yin Chen, Fengcai Zhu, Baoli Zhu, Ming Wu"
EPI_ISL_411952	BetaCoV/Jiangsu/JS02/2020	Asia / China / Jiangsu	2020-01-24	"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology"	Jiangsu Provincial Center for Disease Control & Prevention	"Kangchen Zhao, Xiaojuan Zhu, Lunbiao Cui, Tao Wu, Yiyue Ge, Bin Wu, Yin Chen, Fengcai Zhu, Baoli Zhu, Ming Wu"
EPI_ISL_411929	BetaCoV/South Korea/SNU01/2020	Asia / South Korea	2020-01	unknown	Department of Clinical Diagnostics	"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S. and Oh,M.-D."
EPI_ISL_411954	BetaCoV/USA/CA7/2020	North America / USA / California	2020-02-06	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_411955	BetaCoV/USA/CA8/2020	North America / USA / California	2020-02-10	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_411956	BetaCoV/USA/TX1/2020	North America / USA / Texas	2020-02-11	Texas Department of State Health Services	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_411951	BetaCoV/Sweden/01/2020	Europe / Sweden	2020-02-07	unknown	"Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden"	"Bengner,M., Palmerus,M., Lindsjo,O., Lind Karlberg,M., Monteil,V., Appelberg,S., Brave,A., Muradrasoli,S. and Tegmark-Wisell,K."
EPI_ISL_411957	BetaCoV/China/WH-09/2020	Asia / China	2020-01-08	unknown	"Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science"	"Linlin,B., Lili,R., Shuran,G., Jiangning,L., Feifei,Q., Qi,L., Fengdi,L., Jing,X., Wei,D., Pin,Y., Yanfeng,X., Yajin,Q., Hong,G., Qiang,W., Mingya,L., Guanpeng,W., Shunyi,W., Zhiqi,S., Li,G., Lan,C., Conghui,W., Ying,W., Xinming,W., Yan,X., Qi,J. and Chuan,Q."
EPI_ISL_411958	BetaCoV/China/HS_8/2020	Asia / China / HuaShang	2020-01-22	unknown	"Bioinfo, Vision Medicals, Lianhe,"	"Zhang,W.H"
EPI_ISL_411959	BetaCoV/China/HS_17/2020	Asia / China / HuaShang	2020-01-23	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411960	BetaCoV/China/HS_18/2020	Asia / China / HuaShang	2020-01-23	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411961	BetaCoV/China/HS_38/2020	Asia / China / HuaShang	2020-01-25	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411962	BetaCoV/China/HS_46/2020	Asia / China / HuaShang	2020-01-26	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411963	BetaCoV/China/HS_64/2020	Asia / China / HuaShang	2020-01-28	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411964	BetaCoV/China/HS_84/2020	Asia / China / HuaShang	2020-01-30	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411965	BetaCoV/China/HS_86/2020	Asia / China / HuaShang	2020-01-30	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411966	BetaCoV/China/HS_92/2020	Asia / China / HuaShang	2020-01-31	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_411967	BetaCoV/China/HS_194/2020	Asia / China / HuaShang	2020-02-06	unknown	"Bioinfo, Vision Medicals, Lianhe"	"Zhang,W.H"
EPI_ISL_412026	BetaCoV/Hefei/2/2020	Asia / China / Anhui / Hefei	2020-02-23	Second Hospital of Anhui Medical University	Second Hospital of Anhui Medical University	"Changtai Wang, Zhongping Liua, Zixiang Chen, Xin Huang, Mengyuan Xua, Tengfei He, Mengji Lu, Zhenhua Zhang"
EPI_ISL_411949	BetaCoV/Shanghai/SH-01/2020	Asia / China / Shanghai	2020-01-16	unknown	"Pathogenic microbiology laboratory_Huashan Hospital, Fudan University"	"Jing-Wen Ai, Yi Zhang, Hao-Cheng Zhang, Teng Xu, Wen-Hong Zhang"
EPI_ISL_412028	BetaCoV/Hong Kong/VM20001061/2020	Asia / Hong Kong	2020-01-22	Hong Kong Department of Health	"School of Public Health, The University of Hon g Kong"	"Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris"
EPI_ISL_412029	BetaCoV/Hong Kong/VM20001988/2020	Asia / Hong Kong	2020-01-30	Hong Kong Department of Health	The University of Hong Kong	"Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris"
EPI_ISL_412030	BetaCoV/Hong Kong/VB20026565/2020	Asia / Hong Kong	2020-02-01	Hong Kong Department of Health	"School of Public Health, The University of Hon g Kong"	"Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris"
EPI_ISL_412034	BetaCoV/Wuhan/Tongji-01/2020	Asia / China / Wuhan	2020-01	unknown	"Department of Clinical Laboratory, Tongji Hospital"	"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y"
EPI_ISL_412035	BetaCoV/Wuhan/Tongji-02/2020	Asia / China / Wuhan	2020-01	unknown	"Department of Clinical Laboratory, Tongji Hospital"	"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y"
EPI_ISL_412036	BetaCoV/Wuhan/Tongji-03/2020	Asia / China / Wuhan	2020-01	unknown	"Department of Clinical Laboratory, Tongji Hospital"	"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y"
EPI_ISL_412037	BetaCoV/Wuhan/Tongji-04/2020	Asia / China / Wuhan	2020-01	unknown	"Department of Clinical Laboratory, Tongji Hospital"	"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y"
EPI_ISL_412038	BetaCoV/Wuhan/Tongji-05/2020	Asia / China / Wuhan	2020-01	unknown	"Department of Clinical Laboratory, Tongji Hospital"	"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y"
EPI_ISL_412039	BetaCoV/Wuhan/Tongji-06/2020	Asia / China / Wuhan	2020-01	unknown	"Department of Clinical Laboratory, Tongji Hospital"	"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y"
EPI_ISL_412041	BetaCoV/Shenzhen/HKU-SZ-001/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y"
EPI_ISL_412042	BetaCoV/Shenzhen/HKU-SZ-004/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412043	BetaCoV/Shenzhen/HKU-SZ-001/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412044	BetaCoV/Shenzhen/HKU-SZ-002b/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412045	BetaCoV/Shenzhen/HKU-SZ-004/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412046	BetaCoV/Shenzhen/HKU-SZ-005/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412050	BetaCoV/China/HKU-SZ-007b/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412049	BetaCoV/China/HKU-SZ-007a/2020	Asia / China	2020-01	unknown	University of Hong Kong- Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412051	BetaCoV/China/HKU-SZ-007c/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412052	BetaCoV/China/HKU-SZ-007a/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412053	BetaCoV/China/HKU-SZ-007b/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_412054	BetaCoV/China/HKU-SZ-007c/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_408668	BetaCoV/Vietnam/VR03-38142/2020	Asia / Vietnam / Thanh Hoa	2020-01-24	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	"Ung Thi Hong Trang, Hoang Vu Mai Phuong, Nguyen Le Khanh Hang, Nguyen Vu Son, Le Thi Thanh, Vuong Duc Cuong, Nguyen Phuong Anh, Pham Thi Hien, Tran Thu Huong, Le Thi Quynh Mai,"
